,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
90,90,5.102690800000005,93.0,18306.0,200,0.2,1000
91,91,5.157345000000021,93.0,18507.0,200,0.2,1000
92,92,5.210768700000017,93.0,18708.0,200,0.2,1000
93,93,5.270896800000003,93.0,18909.0,200,0.2,1000
94,94,5.326303800000005,93.0,19110.0,200,0.2,1000
95,95,5.380015399999991,93.0,19311.0,200,0.2,1000
96,96,5.43510550000002,93.0,19512.0,200,0.2,1000
97,97,5.491029000000026,93.0,19713.0,200,0.2,1000
98,98,5.546144000000027,93.0,19914.0,200,0.2,1000
99,99,5.598698399999989,93.0,20115.0,200,0.2,1000
100,100,5.652825800000016,93.0,20316.0,200,0.2,1000
101,101,5.704944699999999,93.0,20517.0,200,0.2,1000
102,102,5.760656500000039,93.0,20718.0,200,0.2,1000
103,103,5.8213078,93.0,20919.0,200,0.2,1000
104,104,5.8800833999999895,93.0,21120.0,200,0.2,1000
105,105,5.932567400000039,93.0,21321.0,200,0.2,1000
106,106,5.986747400000013,93.0,21522.0,200,0.2,1000
107,107,6.038641900000016,93.0,21723.0,200,0.2,1000
108,108,6.09465560000001,93.0,21924.0,200,0.2,1000
109,109,6.148306700000035,93.0,22125.0,200,0.2,1000
110,110,6.201360000000022,93.0,22326.0,200,0.2,1000
111,111,6.255491000000006,93.0,22527.0,200,0.2,1000
112,112,6.314089899999999,93.0,22728.0,200,0.2,1000
113,113,6.368914200000006,93.0,22929.0,200,0.2,1000
114,114,6.425751100000014,93.0,23130.0,200,0.2,1000
115,115,6.481613500000037,93.0,23331.0,200,0.2,1000
116,116,6.5367606000000364,93.0,23532.0,200,0.2,1000
117,117,6.591615200000035,93.0,23733.0,200,0.2,1000
118,118,6.645253099999991,93.0,23934.0,200,0.2,1000
119,119,6.703105600000015,93.0,24135.0,200,0.2,1000
120,120,6.758784999999989,93.0,24336.0,200,0.2,1000
121,121,6.813466699999992,93.0,24537.0,200,0.2,1000
122,122,6.869608800000037,93.0,24738.0,200,0.2,1000
123,123,6.925087800000028,93.0,24939.0,200,0.2,1000
124,124,6.9783893000000035,93.0,25140.0,200,0.2,1000
125,125,7.0295545000000175,93.0,25341.0,200,0.2,1000
126,126,7.081197599999996,93.0,25542.0,200,0.2,1000
127,127,7.133428100000003,93.0,25743.0,200,0.2,1000
128,128,7.186151700000039,93.0,25944.0,200,0.2,1000
129,129,7.241734000000008,93.0,26145.0,200,0.2,1000
130,130,7.306417500000009,93.0,26346.0,200,0.2,1000
131,131,7.363273900000024,93.0,26547.0,200,0.2,1000
132,132,7.418261500000028,93.0,26748.0,200,0.2,1000
133,133,7.473869900000011,93.0,26949.0,200,0.2,1000
134,134,7.531033600000001,93.0,27150.0,200,0.2,1000
135,135,7.5863125000000196,93.0,27351.0,200,0.2,1000
136,136,7.637635400000022,93.0,27552.0,200,0.2,1000
137,137,7.691755499999999,93.0,27753.0,200,0.2,1000
138,138,7.744443600000011,93.0,27954.0,200,0.2,1000
139,139,7.802424700000017,93.0,28155.0,200,0.2,1000
140,140,7.86995330000002,93.0,28356.0,200,0.2,1000
141,141,7.926739800000007,93.0,28557.0,200,0.2,1000
142,142,7.981343000000038,93.0,28758.0,200,0.2,1000
143,143,8.034562600000015,93.0,28959.0,200,0.2,1000
144,144,8.087091299999997,93.0,29160.0,200,0.2,1000
145,145,8.14203150000003,93.0,29361.0,200,0.2,1000
146,146,8.195575899999994,93.0,29562.0,200,0.2,1000
