,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.004522699999995439,0.0,200.0,200,0.2,1000
1,1,0.07140079999999216,28.093859161869553,402.0,200,0.2,1000
2,2,0.08784959999999842,29.023351587326903,604.0,200,0.2,1000
3,3,0.10447340000000338,29.023351587326903,805.0,200,0.2,1000
4,4,0.12047660000000349,29.023351587326903,1006.0,200,0.2,1000
5,5,0.13563329999999496,30.220311342405108,1208.0,200,0.2,1000
6,6,0.1540865999999994,31.617857055201938,1410.0,200,0.2,1000
7,7,0.16958669999999643,31.617857055201938,1611.0,200,0.2,1000
8,8,0.1850086000000033,31.617857055201938,1812.0,200,0.2,1000
9,9,0.20326149999999643,31.78373939720226,2014.0,200,0.2,1000
10,10,0.2192136999999974,32.28219797606139,2216.0,200,0.2,1000
11,11,0.23508919999999023,32.36849327720863,2418.0,200,0.2,1000
12,12,0.25063430000000153,32.7320181986169,2620.0,200,0.2,1000
13,13,0.2656637999999987,32.7320181986169,2821.0,200,0.2,1000
14,14,0.2793185999999963,33.80204714458548,3023.0,200,0.2,1000
15,15,0.29617480000000285,34.32943673779812,3225.0,200,0.2,1000
16,16,0.31061839999999563,34.42643194430079,3427.0,200,0.2,1000
17,17,0.3250056999999913,34.42643194430079,3628.0,200,0.2,1000
18,18,0.3381608999999912,34.820583801874186,3830.0,200,0.2,1000
19,19,0.3501890000000003,34.820583801874186,4031.0,200,0.2,1000
20,20,0.3636698999999908,34.909571436628774,4233.0,200,0.2,1000
21,21,0.3775650999999982,35.83397984512705,4435.0,200,0.2,1000
22,22,0.3899995999999959,35.83397984512705,4636.0,200,0.2,1000
23,23,0.40460559999999646,35.83397984512705,4837.0,200,0.2,1000
24,24,0.41717239999999833,36.049831444514545,5039.0,200,0.2,1000
25,25,0.4295901999999927,36.13547525317792,5241.0,200,0.2,1000
26,26,0.4437917999999996,36.24832575807379,5443.0,200,0.2,1000
27,27,0.4592961000000031,36.703853738237704,5645.0,200,0.2,1000
28,28,0.47369770000000244,37.28659135002692,5847.0,200,0.2,1000
29,29,0.48817590000000166,37.28659135002692,6048.0,200,0.2,1000
30,30,0.5023240000000015,37.40539341586192,6250.0,200,0.2,1000
31,31,0.5171904999999981,37.40539341586192,6451.0,200,0.2,1000
32,32,0.5299409999999938,37.40539341586192,6652.0,200,0.2,1000
33,33,0.5437594999999931,37.7669909233833,6854.0,200,0.2,1000
