,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
85,85,6.637382699999989,100.0,17296.0,True,200,0.25,1000
86,86,6.719859900000074,100.0,17497.0,True,200,0.25,1000
87,87,6.800547400000141,100.0,17698.0,True,200,0.25,1000
88,88,6.881431300000031,100.0,17899.0,True,200,0.25,1000
89,89,6.965106399999968,100.0,18100.0,True,200,0.25,1000
90,90,7.049328500000001,100.0,18301.0,True,200,0.25,1000
91,91,7.141939500000035,100.0,18502.0,True,200,0.25,1000
92,92,7.224980800000139,100.0,18703.0,True,200,0.25,1000
93,93,7.322803700000122,100.0,18904.0,True,200,0.25,1000
94,94,7.403667300000052,100.0,19105.0,True,200,0.25,1000
95,95,7.487381599999935,100.0,19306.0,True,200,0.25,1000
96,96,7.573042400000077,100.0,19507.0,True,200,0.25,1000
97,97,7.655028099999981,100.0,19708.0,True,200,0.25,1000
98,98,7.750632400000086,100.0,19909.0,True,200,0.25,1000
99,99,7.831846199999973,100.0,20110.0,True,200,0.25,1000
100,100,7.911556100000098,100.0,20311.0,True,200,0.25,1000
101,101,7.993231300000161,100.0,20512.0,True,200,0.25,1000
102,102,8.084853199999998,100.0,20713.0,True,200,0.25,1000
103,103,8.177231900000152,100.0,20914.0,True,200,0.25,1000
104,104,8.267362100000128,100.0,21115.0,True,200,0.25,1000
105,105,8.365513700000065,100.0,21316.0,True,200,0.25,1000
106,106,8.46447000000012,100.0,21517.0,True,200,0.25,1000
107,107,8.559447900000123,100.0,21718.0,True,200,0.25,1000
108,108,8.649169000000029,100.0,21919.0,True,200,0.25,1000
109,109,8.753270899999961,100.0,22120.0,True,200,0.25,1000
110,110,8.878779000000122,100.0,22321.0,True,200,0.25,1000
111,111,8.983396300000095,100.0,22522.0,True,200,0.25,1000
