,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
85,85,10.240957600000002,91.0,17295.0,True,200,0.25,1000
86,86,10.372854400000051,91.0,17496.0,True,200,0.25,1000
87,87,10.495470000000068,91.0,17697.0,True,200,0.25,1000
88,88,10.64066969999999,91.0,17898.0,True,200,0.25,1000
89,89,10.765901100000065,91.0,18099.0,True,200,0.25,1000
90,90,10.890436500000078,91.0,18300.0,True,200,0.25,1000
91,91,11.016826400000127,91.0,18501.0,True,200,0.25,1000
92,92,11.165183200000001,91.0,18702.0,True,200,0.25,1000
93,93,11.288956399999961,91.0,18903.0,True,200,0.25,1000
94,94,11.41375979999998,91.0,19104.0,True,200,0.25,1000
95,95,11.53986359999999,91.0,19305.0,True,200,0.25,1000
96,96,11.680116800000178,91.0,19506.0,True,200,0.25,1000
97,97,11.804486800000177,91.0,19707.0,True,200,0.25,1000
98,98,11.925206900000148,91.0,19908.0,True,200,0.25,1000
99,99,12.05045210000003,91.0,20109.0,True,200,0.25,1000
100,100,12.17570250000017,91.0,20310.0,True,200,0.25,1000
101,101,12.30340840000008,91.0,20511.0,True,200,0.25,1000
102,102,12.429679300000089,91.0,20712.0,True,200,0.25,1000
103,103,12.554011299999956,91.0,20913.0,True,200,0.25,1000
104,104,12.682556599999998,91.0,21114.0,True,200,0.25,1000
105,105,12.8076602000001,91.0,21315.0,True,200,0.25,1000
106,106,12.926528800000142,91.0,21516.0,True,200,0.25,1000
107,107,13.051325600000155,91.0,21717.0,True,200,0.25,1000
108,108,13.179559200000085,91.0,21918.0,True,200,0.25,1000
109,109,13.303775300000098,91.0,22119.0,True,200,0.25,1000
110,110,13.429709100000082,91.0,22320.0,True,200,0.25,1000
111,111,13.5610858,91.0,22521.0,True,200,0.25,1000
112,112,13.689626800000042,91.0,22722.0,True,200,0.25,1000
